animeTitle	b'Hashiri Tsuzukete Yokattatte.'
animeType	b'TV'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	3984
animeRank	
animePopularity	
animeDescription	"b""Minato visits a recitation at an anime event with his friend. He is captivated by the voice actors' performances and decides to enroll in Suidoubashi Animation Academy. There, he meets Chikako, who used to live in the room he is moving into and who left a message in a USB drive. Minato, who aims to be a voice actor but is unable to put himself into the role, and Chikako, who lives with a past trauma, encourage one another and try to improve themselves. With the help of seniors such as Ryouta and Kei watching over them, they try to mature. As they stumble and worry, what lies ahead for them both?\n\n(Source: MAL News)"""
animeRelated	[]
animeCharacters	[b'Oomori, Chikako', b'Suyama, Minato', b'Gushiken, Shiori', b'Ikoma, Kei', b'Nakata, Ryouta']
animeVoices	[b'\nNoguchi, Iori\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKoinu\nJapanese\n', b'\nFuchigami, Mai\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nArakawa, Masatsugu\n\nDirector\n\n', b'\nGouda, Hozumi\n\nSound Director\n\n', b'\nHoneyWorks\n\nTheme Song Arrangement, Theme Song Lyrics, Theme Song Composition, Music\n\n', b'\nLIPxLIP\n\nTheme Song Performance\n\n']
