animeTitle	b'Super Dragon Ball Heroes'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	5.27
animeUsers	23147
animeRank	
animePopularity	
animeDescription	"b""In May 2018, V-Jump announced a promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game that has never been released in the West. The anime is expected to be short and it is not expected to broadcast on TV. It will adapt the game's Prison Planet Arc, fully detailed in the Heroes manga published in Saikyou Jump, which has never been published in English. The first episode will debut July 1, 2018 at Aeon Lake Town."""
animeRelated	[b'Super Dragon Ball Heroes: Ankoku Makai Mission!', b'Super Dragon Ball Heroes: Universe Mission!!', b'Super Dragon Ball Heroes: Big Bang Mission!!!', b'Dragon Ball', b'Dragon Ball GT', b'Dragon Ball Z', b'Dragon Ball Super']
animeCharacters	[b'Son, Gokuu', b'Vegeta', b'Son, Gohan', b'Piccolo', b'Future Trunks', b'Gokuu Black', b'Broly', b'Freeza', b'Kuririn', b'Jinzouningen 18-gou']
animeVoices	[b'\nNozawa, Masako\nJapanese\n', b'\nHorikawa, Ryo\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nShimada, Bin\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamuro, Tadayoshi\n\nDirector, Storyboard, Chief Animation Director, Character Design\n\n', b'\nKarasawa, Kazuya\n\nEpisode Director, Storyboard\n\n', b'\nTanimoto, Takayoshi\n\nTheme Song Performance\n\n', b'\nMori, Yuya\n\nMusic\n\n']
