animeTitle	Hagane Orchestra
animeType	TV
animeNumEpisode	12
releaseDate	2016-10-10 00:00:00
endDate	2016-12-26 00:00:00
animeNumMembers	
animeScore	5.55
animeUsers	1348
animeRank	
animePopularity	7232
animeDescription	"A group of young girls make a living by running an armored vehicle customization workshop in a desert town. They discuss different ways of promoting their business every day.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Chris', 'Den-tan', 'Kako', 'Nanaka', 'Kureha', 'Masha', 'Yuzuki, Yukari', 'Tsurumaki, Maki', 'Tsubaki', 'Hanzou']
animeVoices	['Saitou, Souma', 'Sasaki, Hiroo', 'Mizuhara, Kaoru', 'Matsui, Eriko', 'Tsutsui, Erina', 'Satou, Azusa', 'Nakae, Mitsuki', 'Tokuishi, Katsuhiro']
animeStaff	[['Oota, Masahiko', 'Director, Storyboard'], ['Aoshima, Takashi', 'Script, Series Composition'], ['Misawa, Yasuhiro', 'Music'], ['Katou, Hiroshi', 'Art Director']]
