animeTitle	Asobi Asobase Specials
animeType	Special
animeNumEpisode	2
releaseDate	2018-11-28 00:00:00
endDate	2018-12-21 00:00:00
animeNumMembers	34993
animeScore	7.6
animeUsers	18797
animeRank	1292
animePopularity	3047
animeDescription	Included with the third and fourth volumes of the Asobi Asobase Blu-ray and DVD releases. 
animeRelated	['Asobi Asobase']
animeCharacters	['Honda, Hanako', 'Olivia', 'Nomura, Kasumi', 'Aozora, Tsugumi', 'Honda, Kentarou']
animeVoices	['Kino, Hina', 'Nagae, Rika', 'Kohara, Konomi', 'Fudemura, Eishin']
animeStaff	[['Kouda, Masato', 'Music'], ['Suzukawa, Rin', 'Original Creator']]
