animeTitle	Danball Senki W
animeType	TV
animeNumEpisode	58
releaseDate	2012-01-18 00:00:00
endDate	2013-03-20 00:00:00
animeNumMembers	5267
animeScore	7.05
animeUsers	2354
animeRank	3589
animePopularity	6857
animeDescription	"One year after the fight with the Innovators, a new terrorist organization called the Detectors threatens the world using LBXs. Ban joins up with new and old friends to stop the Detectors.

(Source: ANN)"
animeRelated	['Danball Senki', 'Inazuma Eleven Go vs. Danball Senki W Movie', 'Soukou Musume Senki', 'Danball Senki Wars']
animeCharacters	['Kaidou, Jin', 'Oozora, Hiro', 'Yamano, Ban', 'Haibara, Yuuya', 'Hanasaki, Ran', 'Kaios, Jessica', 'Aoshima, Kazuya', 'Gouda, Hanzou', 'Sendou, Daiki', 'Kawamura, Ami']
animeVoices	['Oda, Hisafumi', 'Shimono, Hiro', 'Kubota, Megumi', 'Kaji, Yuki', 'Hanazawa, Kana', 'Kitamura, Eri', 'Namikawa, Daisuke', 'Katsu, Anri', 'Inoue, Marina']
animeStaff	[['Hino, Akihiro', 'Producer, Original Creator, Planning'], ['Takahashi, Naohito', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Konuta, Kenji', 'Script']]
