animeTitle	Dushi Miao Qitan
animeType	ONA
animeNumEpisode	20
releaseDate	2021-01-30 00:00:00
endDate	2021-06-05 00:00:00
animeNumMembers	97
animeScore	
animeUsers	
animeRank	15509
animePopularity	17870
animeDescription	"A story about the cat demons Nighteye and William who, through trading with humans, absorb the soul of the trader to increase their life span via cultivation and become immortal. In these transaction, interesting stories happen with Hong Yu, Lan Ling and others.

(Source: ManhuaTai)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
