animeTitle	Itoshi no Muco OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2016-04-22 00:00:00
endDate	
animeNumMembers	363
animeScore	
animeUsers	
animeRank	16340
animePopularity	13871
animeDescription	"The wraparound jacket band of the eighth compiled book volume of Takayuki Mizushina's Itoshi no Muco manga revealed on Friday that the manga will get an original anime DVD in spring 2016, which will be bundled with a limited edition of the manga's ninth volume. 

(Source: ANN)"
animeRelated	['Itoshi no Muco']
animeCharacters	['Muco']
animeVoices	[]
animeStaff	[]
