animeTitle	b'Neko Neko Nihonshi'
animeType	b'TV'
animeNumEpisode	32
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	272
animeRank	
animePopularity	
animeDescription	b'The story imagines if Japanese historical figures such as Queen Himiko, the warlord Oda Nobunaga, and samurai Sakamoto Ryouma were cats.\n\n(Source: ANN)'
animeRelated	[b'Neko Neko Nihonshi', b'Neko Neko Nihonshi 2nd Season']
animeCharacters	[b'Sakamoto, Ryouma', b'Oda, Nobunaga', b'Himiko']
animeVoices	[b'\nKobayashi, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawamura, Tomohiro\n\nDirector\n\n', b'\nTakada, Ryou\n\nScript, Series Composition\n\n', b'\nShimizu, Tadashi\n\nScript\n\n', b'\nSonishi, Kenji\n\nOriginal Creator\n\n']
