animeTitle	Dambo
animeType	Music
animeNumEpisode	1
releaseDate	2004-12-08 00:00:00
endDate	
animeNumMembers	532
animeScore	5.14
animeUsers	306
animeRank	11223
animePopularity	12775
animeDescription	"The haunting, hallucinatory, and oddly cute journey of a young woman into a fantastical world called ""dambo"", lovingly crafted in stop-motion animation. Music by the Japanese electro-pop band, Electrical Lovers."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
