animeTitle	FLCL Progressive
animeType	Movie
animeNumEpisode	1
releaseDate	2018-09-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	31210
animeRank	
animePopularity	1445
animeDescription	"Hidomi Hibajiri is a dissilusioned young girl who never takes off her headphones. Her whole life consists of going to school, helping out at her mother's cafe, and listening to music. And with nothing else to break the crippling monotony, she keeps her headphones on at all times. That is, until she is run over by a mysterious guitar-wielding woman.

That same night, a robot barges into Hidomi’s room along with a boy from her class, Ko Ide, and the kids are chased around town together. They're saved by the guitar-wielding woman from before, but now Hidomi's got a horn growing from her forehead? Who knows where these robots are coming from, what kind of vespa woman this weird guitar woman is warning her about, or what this thing on her forehead is, but it doesn't look like Hidomi is going to be able to ignore all this with headphones!

[Written by MAL Rewrite]"
animeRelated	['FLCL', 'FLCL Alternative']
animeCharacters	['Haruhara, Haruko', 'Hibajiri, Hidomi', 'Jinyu, Julia', 'Canti', 'Ide, Kou', 'Nogata, Marco', 'Mori, Gorou']
animeVoices	['Hayashibara, Megumi', 'Minase, Inori', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Nakazawa, Masatomo', 'Muranaka, Tomo']
animeStaff	[['Ibata, Yoshihide', 'Co-Director'], ['Terashima-Furuta, Maki', 'Producer'], ['Ogawa, Yuuki', 'Director'], ['Ikehata, Hiroshi', 'Director, Episode Director, Storyboard']]
