animeTitle	Musekinin Kanchou Tylor
animeType	TV
animeNumEpisode	26
releaseDate	1993-01-25 00:00:00
endDate	1993-07-19 00:00:00
animeNumMembers	
animeScore	7.87
animeUsers	13273
animeRank	
animePopularity	2739
animeDescription	"Justy Ueki Tylor is an average 20-year-old man: lazy, greedy, and a passionate womanizer. He plans to land an easy job with the United Planets Space Force that pays decently and is also far away from the rigorous combat raging throughout the galaxy.

However, Tylor's dreams of living a simple life are brought to a sudden halt when he stumbles into a dangerous hostage situation. Through one strange mishap after another, Tylor miraculously manages to save the hostages and is awarded command of the decrepit space-cruiser Soyokaze!

Now Tylor finds himself in charge of sending mad mercenaries, proud pilots, skeptical colleagues, and harsh commanders through the infinite expanse of the universe, all the while avoiding the looming threat of the Holy Raalgon Empire. What misadventures await the irresponsible Captain Tylor?

[Written by MAL Rewrite]"
animeRelated	['Uchuu Ichi no Musekinin Otoko Series', 'Musekinin Kanchou Tylor OVA', 'Musekinin Galaxy☆Tylor']
animeCharacters	['Tylor, Justy Ueki', 'Yamamoto, Makoto', 'Star, Yuriko', 'Goza, Azalyn', 'Jason', 'Dom, Ru Baraba', 'Katori, Harold', 'Noriko', 'Kitaguchi, Hidezaburo', 'Hanner, Robert J.']
animeVoices	['Tsujitani, Kouji', 'Hayami, Show', 'Amano, Yuri', 'Kasahara, Hiroko', 'Seki, Toshihiko', 'Narita, Ken', 'Kawamura, Maria', 'Yanami, Jouji', 'Nishikawa, Ikuo']
animeStaff	[['Mashimo, Kouichi', 'Director, Episode Director, Storyboard, Series Composition'], ['Matsukawa, Riku', 'Sound Director'], ['Sawai, Kouji', 'Episode Director, Storyboard'], ['Takamura, Akira', 'Episode Director, Storyboard']]
