animeTitle	b'Ore wa Chokkaku'
animeType	b'TV'
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Ore wa Chokkaku']
animeCharacters	[b'Chokkaku', b'Terumasa']
animeVoices	[b'\nSakamoto, Chika\nJapanese\n', b'\nTanaka, Mayumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Kyotaro\n\nProducer\n\n', b'\nAnnou, Masami\n\nDirector, Storyboard\n\n', b'\nMizumoto, Kan\n\nSound Director\n\n', b'\nAbe, Noriyuki\n\nEpisode Director\n\n']
