animeTitle	b'Love Live! x Watering KissMint Collaboration CM'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	2150
animeRank	
animePopularity	
animeDescription	"b""A Collaboration Commercial for Glico's Watering KissMint chewing gum with characters from Love Live! School Idol Project."""
animeRelated	[b'Love Live! The School Idol Movie']
animeCharacters	[b'Nishikino, Maki', b'Yazawa, Niko', b'Toujou, Nozomi', b'Minami, Kotori', b'Sonoda, Umi', b'Kousaka, Honoka', b'Hoshizora, Rin', b'Ayase, Eri', b'Koizumi, Hanayo']
animeVoices	[b'\nPile\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMimori, Suzuko\n\nTheme Song Performance\n\n', b'\nNanjou, Yoshino\n\nTheme Song Performance\n\n', b'\nPile\n\nTheme Song Performance\n\n', b'\nUchida, Aya\n\nTheme Song Performance\n\n']
