animeTitle	Lupin III: Ikiteita Majutsushi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	1975
animeRank	
animePopularity	6988
animeDescription	"Lupin steals an extraordinary gem from a Mediterranean party, only to be interrupted by Pycal, the trickster ""magician"" who had apparently died fighting Lupin early in his career. Pycal, now armed with real magical abilities, is determined to take revenge. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Pycal', 'Nazo no Roujin']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou', 'Nozawa, Nachi', 'Aono, Takeshi']
animeStaff	[['Hamatsu, Mamoru', 'Director, Storyboard'], ['Monkey Punch', 'Original Creator'], ['Oono, Yuuji', 'Music'], ['Hirayama, Satoshi', 'Character Design']]
