animeTitle	Hoozuki no Reitetsu 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.88
animeUsers	15406
animeRank	
animePopularity	2805
animeDescription	"Just as in this life, the afterlife needs a calm troubleshooter to deal with the bureaucratic headaches that come from keeping things in order. Enter Hozuki: a cool and collected demon who’s badly in need of a vacation.

(Source: HIDIVE)"
animeRelated	['Hoozuki no Reitetsu', 'Hoozuki no Reitetsu 2nd Season: Sono Ni']
animeCharacters	['Hoozuki', 'Hakutaku', 'Shiro', 'Karashi', 'Nasubi', 'Zashiki Warashi Ichiko', 'Zashiki Warashi Niko', 'Peach Maki', 'Okou', 'Gon']
animeVoices	['Yasumoto, Hiroki', 'Yusa, Kouji', 'Kobayashi, Yumiko', 'Tanezaki, Atsumi', 'Aoyama, Touko', 'Satou, Satomi', 'Ogura, Yui', 'Uesaka, Sumire', 'Kitamura, Eri', 'Hosoya, Yoshimasa']
animeStaff	[['Yoneda, Kazuhiro', 'Director'], ['Hata, Shouji', 'Sound Director'], ['Gotou, Midori', 'Script'], ['Uesaka, Sumire', 'Theme Song Performance']]
