animeTitle	Aikatsu!
animeType	TV
animeNumEpisode	178
releaseDate	2012-10-08 00:00:00
endDate	2016-03-31 00:00:00
animeNumMembers	
animeScore	7.4
animeUsers	8996
animeRank	
animePopularity	2963
animeDescription	"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have.

Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them?

Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!.

[Written by MAL Rewrite]"
animeRelated	['Aikatsu! Movie', 'Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!', 'Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!', 'Aikatsu Stars!', 'Aikatsu Friends!', 'Aikatsu on Parade!', 'Aikatsu!: Nerawareta Mahou no Aikatsu! Card', 'Aikatsu Planet!']
animeCharacters	['Hoshimiya, Ichigo', 'Kiriya, Aoi', 'Oozora, Akari', 'Toudou, Yurika', 'Shibuki, Ran', 'Hikami, Sumire', 'Arisugawa, Otome', 'Kanzaki, Mizuki', 'Kurebayashi, Juri', 'Otoshiro, Seira']
animeVoices	['Morohoshi, Sumire', 'Tadokoro, Azusa', 'Shimoji, Shino', 'Numakura, Manami', 'Ohashi, Ayaka', 'Wakui, Yuu', 'Kurosawa, Tomoyo', 'Kotobuki, Minako', 'Saitou, Aya', 'Ishihara, Kaori']
animeStaff	[['Hosoya, Nobuyuki', 'Producer'], ['Kimura, Ryuuichi', 'Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Fukuoka, Motoo', 'Episode Director']]
