animeTitle	In no Houteishiki
animeType	OVA
animeNumEpisode	2
releaseDate	2004-03-25 00:00:00
endDate	2004-11-25 00:00:00
animeNumMembers	
animeScore	6.27
animeUsers	1784
animeRank	
animePopularity	7137
animeDescription	"Sayako is a new nurse at this certain school. She is what you call a diva: nice pretty face, slender body with the perfect curves and last but not least, very well-formed bust. But there is more to her than meets the eye.

(Source: AniDB)"
animeRelated	['Yoru no Houteishiki']
animeCharacters	['Saeki, Sayoko']
animeVoices	['Minashi, Akemi']
animeStaff	[['Azuki, Kurenai', 'Original Creator']]
