animeTitle	Sekiei Ayakashi Mangatan
animeType	ONA
animeNumEpisode	3
releaseDate	2012-02-02 00:00:00
endDate	2012-03-01 00:00:00
animeNumMembers	3469
animeScore	5.76
animeUsers	1738
animeRank	9528
animePopularity	8014
animeDescription	The story is set during the middle of Japan's historic Edo period. It centers around Toriyama Sekiei, an eccentric but brilliant artist who only draws supernatural creatures—because he draws the creatures he actually encounters in his life. 
animeRelated	['Sekiei Ayakashi Mangatan']
animeCharacters	['Karasuyama, Sekiei']
animeVoices	[]
animeStaff	[['Kawai, Takanori', 'Original Creator']]
