animeTitle	Planetes
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	8.28
animeUsers	64391
animeRank	
animePopularity	826
animeDescription	"In 2075, space travel is no longer just a dream, but an everyday reality for mankind. Advancements in science and technology have led to the colonization of the moon, the commercialization of outer space, and the formation of large space corporations. Ai Tanabe, an upbeat woman whose interests lie in the cosmos, joins Technora Corporation as a member of their Debris Section, a department dedicated to the removal of dangerous space junk between the orbits of the Earth and Moon.

However, Ai soon discovers how unappreciated her job is. As the laughingstock of Technora, the Debris Section is severely understaffed, poorly funded, and is forced to use a dilapidated spaceship nicknamed the ""Toy Box"" for debris retrieval. Undeterred, Ai perseveres and gradually becomes acquainted with the strange personalities that make up the Debris Section's staff, such as the bumbling but good-natured chief clerk Philippe Myers; the mysterious and tight-lipped temp worker Edelgard Rivera; and the hotheaded and passionate Hachirouta Hoshino, who longs for a spaceship to call his own.

Planetes is an unconventional sci-fi series that portrays the vastness of space as a backdrop for the personal lives of ordinary people—people who may have been born on Earth, but whose hopes and dreams lie amongst the stars.

[Written by MAL Rewrite]"
animeRelated	['Planetes', 'Planetes Picture Drama']
animeCharacters	['Hoshino, Hachirouta', 'Tanabe, Ai', 'Carmichael, Fee', 'Mihalkov, Yuri', 'Nono', 'Locksmith, Werner', 'Rondo, Claire', 'Rivera, Edelgard', 'Chad', 'Gangaragash, Gigalt']
animeVoices	['Tanaka, Kazunari', 'Yukino, Satsuki', 'Orikasa, Ai', 'Koyasu, Takehito', 'Koorogi, Satomi', 'Ishizuka, Unshou', 'Watanabe, Kumiko', 'Itou, Maiko', 'Oka, Kazuo', 'Wakamoto, Norio']
animeStaff	[['Taniguchi, Gorou', 'Director, Episode Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Igarashi, Shishou', 'Episode Director, Storyboard'], ['Ookouchi, Ichirou', 'Script, Series Composition']]
