animeTitle	Itsuka Tenma no Kuro Usagi
animeType	TV
animeNumEpisode	12
releaseDate	2011-07-09 00:00:00
endDate	2011-09-24 00:00:00
animeNumMembers	121163
animeScore	6.56
animeUsers	52496
animeRank	5799
animePopularity	1393
animeDescription	"Taito has been really sleepy lately, and keeps dreaming of a female vampire who says she has given him her ""poison."" Sometimes he even thinks he hears her voice when he's awake. But after surviving an accident that should have killed him, Taito's world changes drastically and he realizes that his dreams are more real than he thought."
animeRelated	['Itsuka Tenma no Kuro Usagi', 'Itsuka Tenma no Kuro Usagi: Kokoro Utsuri no Toukoubi - School Attendance Day', 'Itsuka Tenma no Kuro Usagi Picture Drama', 'Itsuka Tenma no Kuro Usagi Special']
animeCharacters	['Saito, Himea', 'Andou, Mirai', 'Kurogane, Taito', 'Kurenai, Gekkou', 'Kurenai, Hinata', 'Shigure, Haruka', 'Aomi, Izumi', 'Cross Philier, Yuuichi', 'Entolio, Hasga', 'Entolio, Serge']
animeVoices	['Takamoto, Megumi', 'Nomizu, Iori', 'Tachibana, Shinnosuke', 'Nakamura, Yuuichi', 'Fukuyama, Jun', 'Mina', 'Horikawa, Chika', 'Suwabe, Junichi', 'Suzumura, Kenichi', 'Okamoto, Nobuhiko']
animeStaff	[['Yamamoto, Takashi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Kawasaki, Itsurou', 'Storyboard'], ['Nitta, Yasunari', 'Storyboard']]
