animeTitle	Eden (ONA)
animeType	ONA
animeNumEpisode	4
releaseDate	2021-05-27 00:00:00
endDate	
animeNumMembers	13047
animeScore	6.38
animeUsers	4749
animeRank	6774
animePopularity	4772
animeDescription	"The sci-fi fantasy series Eden is set thousands of years in the future, where a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe—that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden. 

(Source: Netflix, edited)"
animeRelated	[]
animeCharacters	['Sara', 'E92', 'A37', 'Geneve', 'Zurich', 'S566', 'Zero']
animeVoices	['Kouno, Marika', 'Itou, Kentarou', 'Hikami, Kyouko', 'Kaida, Yuuko', 'Kuwahara, Yuuki', 'Shingaki, Tarusuke', 'Yamadera, Kouichi']
animeStaff	[['Leach, Justin', 'Producer'], ['Irie, Yasuhiro', 'Director'], ['Ueno, Kimiko', 'Script'], ['Penkin, Kevin', 'Music']]
