animeTitle	Shin Tennis no Ouji-sama OVA vs. Genius 10
animeType	OVA
animeNumEpisode	10
releaseDate	2014-10-29 00:00:00
endDate	2015-06-26 00:00:00
animeNumMembers	14619
animeScore	7.62
animeUsers	6493
animeRank	1262
animePopularity	4557
animeDescription	"After a month abroad, the Foreign Expedition Team has returned to the Japan U-17 training camp. The group consists of 20 players, each with strength and technique that far surpasses those who occupy the camp's top court. In anticipation of the team's arrival, the coaches announce that 20 of the best players would be selected for further training. Tension begins to rise when only high school students are chosen to participate, but the middle school students challenge the players who possess the 11th to 20th positions to steal their places.

With the delayed appearance of the ""Genius 10,"" the middle school students begin scheming among themselves to claim those spots as well. Unlikely pairings start to work together, combining their efforts to defeat the top 10 players of the country. It is a battle of wits, deception, and skill—all for the privilege of representing Japan at the U-17 World Cup.

[Written by MAL Rewrite]"
animeRelated	['Shin Tennis no Ouji-sama', 'Houkago no Ouji-sama', 'Shin Tennis no Ouji-sama: U-17 World Cup']
animeCharacters	['Echizen, Ryouma', 'Fuji, Shuusuke', 'Kikumaru, Eiji', 'Kaidou, Kaoru', 'Momoshiro, Takeshi', 'Inui, Sadaharu', 'Kawamura, Takashi', 'Oishi, Shuichiro', 'Tezuka, Kunimitsu', 'Atobe, Keigo']
animeVoices	['Minagawa, Junko', 'Kaida, Yuki', 'Takahashi, Hiroki', 'Kiyasu, Kohei', 'Onosaka, Masaya', 'Tsuda, Kenjirou', 'Kondou, Takayuki', 'Okiayu, Ryoutarou', 'Suwabe, Junichi']
animeStaff	[['Morihiro, Fumi', 'Producer'], ['Suwabe, Junichi', 'Theme Song Performance'], ['Tsuda, Kenjirou', 'Theme Song Performance'], ['Namikawa, Daisuke', 'Theme Song Performance']]
