animeTitle	Hatsumei Boy Kanipan
animeType	TV
animeNumEpisode	31
releaseDate	1998-07-03 00:00:00
endDate	1999-01-29 00:00:00
animeNumMembers	
animeScore	6.55
animeUsers	232
animeRank	
animePopularity	11766
animeDescription	The story revolves around Kanipan aiming to be the best inventor and his adventures while trying to accomplish this.
animeRelated	['Chou Hatsumei Boy Kanipan']
animeCharacters	['Kanipan']
animeVoices	['Takeuchi, Junko']
animeStaff	[['Ishiodori, Hiroshi', 'Director'], ['Hiramitsu, Takuya', 'Sound Director, ADR Director'], ['Shida, Naotoshi', 'Key Animation'], ['Hirayama, Hidetsugu', 'Key Animation']]
