animeTitle	Kaze no Tairiku
animeType	Movie
animeNumEpisode	1
releaseDate	1992-07-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	2070
animeRank	
animePopularity	6927
animeDescription	"Three adventurers—a warrior, a priest, and a young woman—traverse a land devastated by centuries of environmental calamities searching only for a way to survive. In their journeys they stumble across first the remains of a band of desperate treasure-hunters, and then the treasure they were seeking: Azec Sistra, the legendary City of the Dead. Unfortunately, the bandits responsible for slaughtering the treasure-hunters have also found their way to the city, but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there...

(Source: ANN)"
animeRelated	['Kaze no Tairiku']
animeCharacters	['Tieh', 'Lakshi', 'Boice', 'Harad, Arun', 'Lifas, Balney', 'Gaten Rakumu']
animeVoices	['Seki, Toshihiko', 'Takayama, Minami', 'Yara, Yuusaku', 'Hironaka, Masashi', 'Emori, Hiroko', 'Ginga, Banjou']
animeStaff	[['Ishikawa, Mitsuhisa', 'Producer, Production Coordination'], ['Mashimo, Kouichi', 'Director, Script'], ['Hagita, Mitsuo', 'Theme Song Arrangement'], ['Schemmel, Sean', 'ADR Director']]
