animeTitle	b'Karasu no Panya-san/Dorobou Gakkou'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A double feature based on a best-selling children's books by Satoshi Hako.\n\nKarasu no Panya-san is about a crow bakery in the forest run by a couple and their children.\n\nDorobou Gakkou is about the self-explanatory goings-on at an educational institute with a difference.\n\n(Source: The Anime Encyclopedia)\n"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
