animeTitle	Wagaya no Liliana-san The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2019-01-31 00:00:00
endDate	
animeNumMembers	
animeScore	7.23
animeUsers	4630
animeRank	
animePopularity	5375
animeDescription	"Our protagonist Tatsuya was living a normal life as a video game fanatic and altogether average guy. One day he stumbled upon a dark-skinned beauty being attacked by dogs in an alleyway... One thing leads to another and she ended up living with him as she had nowhere else to go...

With nothing of her own, she can only think of one way to thank him for his kindness...

(Source: Hanime)"
animeRelated	['Wagaya no Liliana-san', 'Tonari no Ie no Anette-san The Animation', 'Anette-san to Liliana-san The Animation']
animeCharacters	['Liliana-san', 'Tatsuya']
animeVoices	[]
animeStaff	[['Nishikawa, Takashi', 'Director, Storyboard, Animation Director, Character Design'], ['Aoi, Nagisa', 'Original Creator'], ['Horikawa, Kazuto', 'Director of Photography']]
