animeTitle	b'Gintama: Monster Strike-hen'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	3297
animeRank	
animePopularity	
animeDescription	b'Collaboration anime between Gintama and Monster Strike.'
animeRelated	[b'Gintama', b'Monster Strike']
animeCharacters	[b'Sakata, Gintoki', b'Kagura', b'Shimura, Shinpachi', b'Oragon', b'Katsura, Kotarou', b'Hijikata, Toushirou', b'Okita, Sougo', b'Nostradamus']
animeVoices	[b'\nSugita, Tomokazu\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nFukushima, Jun\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSorachi, Hideaki\n\nOriginal Creator\n\n', b'\nSasaki, Youhei\n\nKey Animation\n\n']
