animeTitle	Arashi no Yoru ni: Himitsu no Tomodachi
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	591
animeRank	
animePopularity	8959
animeDescription	A new anime adaptation by Sparky Animation, Duckbill Entertainment, Baku Enterprise and Bandai Visual of the book Arashi no Yoru ni (One Stormy Night...) by Kimura Yuuichi.
animeRelated	['Arashi no Yoru ni']
animeCharacters	['Mei', 'Gabu', 'Tapu', 'Jima', 'Risu', 'Mii', 'Giro']
animeVoices	['Kugimiya, Rie', 'Yoshino, Hiroyuki', 'Akiho, Saeko', 'Takase, Asaki', 'Horie, Yui', 'Yamadera, Kouichi']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Hirabayashi, Sawako', 'Script'], ['Itami, Aki', 'Script']]
