animeTitle	Ixion Saga DT
animeType	TV
animeNumEpisode	25
releaseDate	2012-10-08 00:00:00
endDate	2013-04-01 00:00:00
animeNumMembers	
animeScore	7.18
animeUsers	39012
animeRank	
animePopularity	1608
animeDescription	The game and anime follow Kon Hokaze, a boy who embarks on a journey from our world to an alternate world known as Mira, which is full a mysterious energy known as Alma. After saving Princess Ecarlate from attackers, he soon finds himself in the middle of a struggle around Alma.
animeRelated	['Ixion Saga ED']
animeCharacters	['Hokaze, Kon', 'Mariandale', 'Dukakis, Erekpyle', 'St. Piria, Ecarlate Juptris', 'Sainglain', 'Leon', 'Almaflora', 'Gustave', 'KT', 'Miranda']
animeVoices	['Eguchi, Takuya', 'Fukuyama, Jun', 'Kamiya, Hiroshi', 'Mikami, Shiori', 'Nakai, Kazuya', 'Sugita, Tomokazu', 'Shintani, Ryouko', 'Suzumura, Kenichi', 'Saiga, Mitsuki', 'Kobayashi, Yuu']
animeStaff	[['Takamatsu, Shinji', 'Director'], ['Nakano, Hideaki', 'Episode Director, Storyboard'], ['Matsuda, Kiyoshi', 'Episode Director, Storyboard'], ['Takahashi, Hideya', 'Episode Director, Storyboard']]
