animeTitle	b'Crazy Roulette'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	197
animeRank	
animePopularity	
animeDescription	"b""A music video for one of Ensemble Star's newest units, Crazy:B, of their debut song Crazy Roulette."""
animeRelated	"[b'Ensemble Stars!', b'Rebellion Star', b'Festive!', b'Blooming World', b""Knockin' Fantasy"", b'BIGBANG REFLECTION!!', b'TRICK with TREAT!! (with UNDEAD)', b""Holy Angel's Carol"", b'Habataki no Fortissimo', b'Rainbow Stairway', b'SUPER NOVA REVOLU5TAR', b'Emerald Planet', b'Play ""Tag""', b'Unlimited\xe2\x98\x86Power!!!!!', b'Suisei HALATION', b'Endless Vide', b'Honeycomb Summer', b'I ""Witch"" You A Happy Halloween!', b'Stippling']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
