animeTitle	Jankenman
animeType	TV
animeNumEpisode	51
releaseDate	1991-04-04 00:00:00
endDate	1992-03-26 00:00:00
animeNumMembers	
animeScore	6.15
animeUsers	225
animeRank	
animePopularity	12347
animeDescription	"There is a small village called Janken Town. The hero Jankenman protects the village and defeats his adversaries by playing games of rock-paper-scissors with them. Meanwhile, the villain Osodashi Mask always tries to deceive others.

(Source: AniDB)"
animeRelated	['Jankenman: Kaijuu Dai Kessen']
animeCharacters	['Jankenman', 'Osodashi Kamen', 'Ururun', 'Kozou, Aki']
animeVoices	['Orikasa, Ai', 'Yokoyama, Chisa', 'Hayashibara, Megumi']
animeStaff	[['Takahashi, Naohito', 'Episode Director, Storyboard'], ['Matsuura, Johei', 'Episode Director'], ['Yoshida, Hiroshi', 'Episode Director, Storyboard'], ['Kanbara, Toshiaki', 'Storyboard']]
