animeTitle	Gochuumon wa Usagi Desu ka? Bloom
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.95
animeUsers	14238
animeRank	
animePopularity	2604
animeDescription	"Although the year is coming close to an end, there is no lack of fun for Kokoa Hoto and the other café waitresses! From bazaars to festivals, life is as enjoyable as it gets. As for Chino Kafuu and her middle school friends—the friendly Megumi Natsu and the playful Maya Jouga—they begin to look towards the future and decide on a high school to enroll in.

Bonds of friendship and exciting adventures blend into Gochuumon wa Usagi Desu ka? Bloom as the joyful lives of the café waitresses continue.

[Written by MAL Rewrite]"
animeRelated	['Gochuumon wa Usagi desu ka?', 'Gochuumon wa Usagi Desu ka??: Sing for You']
animeCharacters	['Kafuu, Chino', 'Hoto, Kokoa', 'Tedeza, Rize', 'Kirima, Sharo', 'Ujimatsu, Chiya', 'Tippy', 'Jouga, Maya', 'Aoyama, Midori', 'Natsu, Megumi', 'Hoto, Moka']
animeVoices	['Minase, Inori', 'Sakura, Ayane', 'Taneda, Risa', 'Uchida, Maaya', 'Satou, Satomi', 'Kiyokawa, Motomu', 'Tokui, Sora', 'Hayami, Saori', 'Murakawa, Rie']
animeStaff	[['Hashimoto, Hiroyuki', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kasai, Yoshinobu', 'Episode Director'], ['Fudeyasu, Kazuyuki', 'Script']]
