animeTitle	Fate/Extra: Last Encore - Illustrias Tendousetsu
animeType	TV
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	28416
animeRank	
animePopularity	2361
animeDescription	"After defeating the various Floor Masters of the six prior levels, Hakuno Kishinami and Saber arrive at the top floor of the Moon Cell. Their opponent will be Leonardo B. Harwey—the strongest Master in the history of the Holy Grail War and the current fan favorite, following his previous victory.

As they reach a field of flowers among floating isles, Hakuno, Saber, and Rin Toosaka come across a hooded man tending to the blossoms. Saber immediately draws her blade before the cloaked figure, who reveals himself as Prince Gawain: the Platinum Saber and Knight of the Round Table. However, when Gawain insists that he has no interest in fighting, the four discuss the infinite possibilities for the Holy Grail, with Hakuno determined to return the Moon Cell to its original form.

Their discussion ends with a clangor from afar, ringing through the skies. The threadbare Gawain, knowing its significance, informs the three that not much time remains for their lives. He beckons them towards the final battleground, where the two Sabers shall duel once more to determine the future of mankind.

[Written by MAL Rewrite]
"
animeRelated	['Fate/Extra', 'Fate/Extra: Last Encore', 'Fate/Extra CCC Opening Animation']
animeCharacters	['Saber', 'Kishinami, Hakuno', 'Toosaka, Rin', 'Gawain', 'Harwey, Leonardo Bistario', 'H. Pieceman, Twice', 'Harwey, Julius Belkisk']
animeVoices	['Tange, Sakura', 'Abe, Atsushi', 'Ueda, Kana', 'Mizushima, Takahiro', 'Ishikawa, Yui', 'Park, Romi', 'Touchi, Hiroki', 'Hatano, Wataru']
animeStaff	[['Okada, Kenjirou', 'Episode Director'], ['Kurosawa, Mamoru', 'Episode Director, Storyboard'], ['Type-Moon', 'Original Creator'], ['Yamamura, Hiroki', 'Chief Animation Director, Character Design']]
