animeTitle	Kämpfer für die Liebe
animeType	Special
animeNumEpisode	2
releaseDate	2011-03-06 00:00:00
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	31052
animeRank	
animePopularity	2367
animeDescription	A two-episode special. They are designated as Episodes 13 and 14, and the first episode is a direct sequel to the previous series while the second episode is about the trans-sex of Natsuru.
animeRelated	['Kämpfer']
animeCharacters	['Sangou, Shizuku', 'Senou, Natsuru', 'Mishima, Akane', 'Sakura, Kaede', 'Kondou, Mikoto', 'Tora, Harakiri', 'Kuro Usagi, Seppuku', 'Yamaneko, Kanden', 'Vice-Rep', 'Hiaburi, Raion']
animeVoices	['Nazuka, Kaori', 'Inoue, Marina', 'Horie, Yui', 'Nakajima, Megumi', 'Asumi, Kana', 'Nomura, Michiko', 'Tamura, Yukari', 'Mizuki, Nana', 'Gotou, Yuuko', 'Utsumi, Kenji']
animeStaff	[['Ebina, Yasunori', 'Sound Director'], ['Satou, Hikaru', 'Episode Director'], ['Fudeyasu, Kazuyuki', 'Script, Series Composition'], ['Yamazaki, Mitsue', 'Storyboard']]
