animeTitle	Afureko! AR
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15109
animeDescription	"Saori was thrown into a voice actor vocational school to escape from being a NEET. There she meets Miki, a former nurse, and Ayano, who aims to become an idol voice actor. School life begins with three beautiful girls aiming to become voice actors!

(Source: Official Site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
