animeTitle	Hana yori Dango (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1997-03-08 00:00:00
endDate	
animeNumMembers	7325
animeScore	6.36
animeUsers	2912
animeRank	6868
animePopularity	6021
animeDescription	"Set in an alternative timeline to the TV series and manga, the movie features a classic Cinderella story told through the medium of 80's dance. Tsukushi Makino is a trainee dancer in a New York Performance group, struggling to become the star of the show with the help of Rui Hanazawa and Tsukasa Doumyouji.

(Source: ANN)"
animeRelated	['Hana yori Dango']
animeCharacters	['Domyouji, Tsukasa', 'Makino, Tsukushi', 'Hanazawa, Rui', 'Toudou, Shizuka', 'Mimasaka, Akira', 'Aoike, Kazuya', 'Nishikado, Soujirou', 'Matsuoka, Yuuki', 'Sanjou, Sakurako']
animeVoices	['Miyashita, Naoki', 'Mochida, Maki', 'Yamamoto, Kouji', 'Ietomi, Yoji', 'Akaida, Yoshihiko']
animeStaff	[['Yamauchi, Shigeyasu', 'Director, Storyboard'], ['Oshima, Michiru', 'Music'], ['Kamio, Yoko', 'Original Creator'], ['Nagamine, Tatsuya', 'Assistant Director']]
