animeTitle	Baten Kaitos
animeType	Music
animeNumEpisode	Unknown
releaseDate	2021-03-28 00:00:00
endDate	
animeNumMembers	173
animeScore	
animeUsers	
animeRank	14959
animePopularity	16499
animeDescription	"Animated music video project directed by Waboku, collaborating with the studio A-1 Pictures, plus the musical talents Eve and Myuk.

The list of released videos included in this entry are as follows:
#1: Myuk - Mahou (Myuk - 魔法), released Mar 28, 2021.

(Source: Anilist)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
