animeTitle	WIXOSS Diva(A)Live
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-09 00:00:00
endDate	2021-03-27 00:00:00
animeNumMembers	
animeScore	5.62
animeUsers	1979
animeRank	
animePopularity	5679
animeDescription	"The story moves the ""Wixoss"" card game to the online virtual space of ""Wixossland"" as it continues to grow more popular. The game allows players to become the LRIG avatars themselves. The most popular format in the game is ""Diva Battle,"" which allows three players to team up to compete against other units for the most ""Selector"" fans. Some units are idol-themed, while others are DJ- and band-themed.

(Source: ANN)"
animeRelated	['Selector Infected WIXOSS']
animeCharacters	['Sakigake, Rei', 'Onko, Akino', 'Asu, Hirana', 'Nekozawa, Nana', 'Tamago, Hakase', 'Umezu, Maho', 'Fujishima, Mikoto', 'Yanagi, Yukari', 'Yuki, Azami', 'Shinonome, Sanga']
animeVoices	['Shiraishi, Haruka', 'Hoshinoya, Shizuku', 'Fukuzumi, Saya', 'Nishida, Nozomi', 'Mano, Ayumi', 'Ichihara, Erisa', 'Yukimura, Eri', 'Moritomo, Rise', 'Ichimichi, Mao', 'Tanabe, Rui']
animeStaff	[['Matsune, Masato', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Shigure, Ui', 'Character Design'], ['Iuchi, Maiko', 'Music']]
