animeTitle	Lingeries
animeType	OVA
animeNumEpisode	3
releaseDate	2003-07-24 00:00:00
endDate	2004-02-26 00:00:00
animeNumMembers	
animeScore	6.98
animeUsers	3514
animeRank	
animePopularity	5757
animeDescription	"As Yusuke Nakonishi begins his new job at the Best Beauty Body Lingerie Company, little does he know that he's about to find himself in the center of a ring of business and sexual intrigue. Charged to disrupt and eliminate the cohorts of an opposing faction, Nakonishi thrusts himself on the prowl after three of his sexy co-workers around whom this sex drama spirals.

(Source: AniDB)"
animeRelated	['Lingeries']
animeCharacters	['Asaoka, Rena', 'Nonoyama, Alice', 'Sakurai, Chisa', 'Fujiyama, Mayumi']
animeVoices	['Nagashima, Yuuko', 'Hitomi', 'Inokuchi, Yuka']
animeStaff	[['Nishijima, Katsuhiko', 'Director'], ['Takami, Akio', 'Key Animation'], ['Yamauchi, Noriyasu', 'Key Animation'], ['Miura, Takehiro', 'Original Character Design']]
