animeTitle	Yu☆Gi☆Oh! Duel Monsters
animeType	TV
animeNumEpisode	224
releaseDate	2000-04-18 00:00:00
endDate	2004-09-29 00:00:00
animeNumMembers	333466
animeScore	7.46
animeUsers	203143
animeRank	1776
animePopularity	503
animeDescription	"Legend says that the enigmatic Millennium Puzzle will grant one wish to whoever deciphers its ancient secrets. Upon solving it, high school student Yuugi Mutou unleashes ""another Yuugi,"" a peculiar presence contained inside. Now, whenever he is faced with a dilemma, this mysterious alter ego makes an appearance and aids him in his troubles.

Wishing to unravel the mystery behind this strange spirit, Yuugi and his companions find themselves competing with several opponents in ""Duel Monsters,"" a challenging card game used by people seeking to steal the Millennium Puzzle in a desperate attempt to harness the great power within. As the questions pile on, it is not long before they figure out that there is more than pride on the line in these duels.

[Written by MAL Rewrite]"
animeRelated	['Yu☆Gi☆Oh!', 'Yu☆Gi☆Oh!: Duel Monsters GX', 'Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Yu☆Gi☆Oh!: Hikari no Pyramid', 'Yu☆Gi☆Oh! Duel Monsters: Battle City Special', 'Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna', 'Yu☆Gi☆Oh! Zexal', 'Yu☆Gi☆Oh! Arc-V', 'Yu☆Gi☆Oh! VRAINS', 'Yu☆Gi☆Oh!: Sevens', 'Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!']
animeCharacters	['Yami Yuugi', 'Kaiba, Seto', 'Jounouchi, Katsuya', 'Mutou, Yuugi', 'Mazaki, Anzu', 'Honda, Hiroto', 'Yami Bakura', 'Bakura, Ryou', 'Ishtar, Malik', 'Crawford, Pegasus J.']
animeVoices	['Kazama, Shunsuke', 'Tsuda, Kenjirou', 'Takahashi, Hiroki', 'Maeda, Aki', 'Kondou, Takayuki', 'Matsumoto, Rica', 'Kimura, Akiko', 'Takasugi Jay, Jiro']
animeStaff	[['Kobayashi, Noriko', 'Producer'], ['Sugishima, Kunihisa', 'Director'], ['Hiramitsu, Takuya', 'Sound Director'], ['Kasai, Kenichi', 'Episode Director, Storyboard']]
