animeTitle	Girlfriend (Note)
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	595
animeRank	
animePopularity	8035
animeDescription	"One day, after the ending of World Dance Battle Royale, it has been unexpectedly decided that the nonet will work together with ""Ootori"" members from Ootoriutain High School to create a drama. The drama is an original story based on Cinderella with an arrangement. It has been decided that Momoko Asahina will play Cinderella and Miyabi Kunishiro the prince. Also, an unexpected role has been decided for Kokomi Shiina. A drama between a slightly different nonet and Ootori members has begun.

(Sourc: MAL News)"
animeRelated	['Girlfriend (Kari)']
animeCharacters	['Shiina, Kokomi', 'Asahina, Momoko', 'Etou, Kurumi']
animeVoices	[]
animeStaff	[['Tonsho, Shinji', 'Director of Photography'], ['Shibuya, Sakae', 'Chief Animation Director, Character Design']]
