animeTitle	Chobits Recap
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.97
animeUsers	19387
animeRank	
animePopularity	2974
animeDescription	A DVD recap episode of the Chobits TV series.
animeRelated	['Chobits']
animeCharacters	['Chii', 'Motosuwa, Hideki', 'Sumomo', 'Kotoko', 'Kokubunji, Minoru', 'Ueda, Hiroyasu', 'Hibiya, Chitose', 'Kojima, Yoshiyuki']
animeVoices	['Tanaka, Rie', 'Sugita, Tomokazu', 'Kumai, Motoko', 'Yukana', 'Kuwashima, Houko', 'Ueda, Yuuji', 'Inoue, Kikuko', 'Suwabe, Junichi']
animeStaff	[['Asaka, Morio', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Tanaka, Hiroyuki', 'Episode Director'], ['Round Table featuring Nino', 'Theme Song Performance']]
