animeTitle	Hakuouki Sekkaroku
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.62
animeUsers	10376
animeRank	
animePopularity	3577
animeDescription	"This OVA takes place in between episodes 8 and 9 of the first season of Hakuouki.

Yukimura Chizuru goes on a reconnaissance mission in Shimabara as a geiko for the Shinsengumi. Each episode unfolds the events of the days leading up to, during, and after the operation. It intermittently reveals each captain's involvement as well as that of a few demons in the affair. Each individual episode primarily focuses from the third person perspectives of: Okita Souji, Saito Hajime, Harada Sanosuke, Toudou Heisuke, Hijikata Toshizo, and Kazama Chikage."
animeRelated	['Hakuouki Sekkaroku', 'Hakuouki']
animeCharacters	['Saitou, Hajime', 'Okita, Souji', 'Hijikata, Toshizou', 'Harada, Sanosuke', 'Toudou, Heisuke', 'Yukimura, Chizuru', 'Kazama, Chikage', 'Nagakura, Shinpachi', 'Sannan, Keisuke', 'Yamazaki, Susumu']
animeVoices	['Toriumi, Kousuke', 'Morikubo, Shoutarou', 'Miki, Shinichiro', 'Yusa, Kouji', 'Yoshino, Hiroyuki', 'Kuwashima, Houko', 'Tsuda, Kenjirou', 'Tsuboi, Tomohiro', 'Tobita, Nobuo', 'Suzuki, Takayuki']
animeStaff	[['Yamasaki, Osamu', 'Director, Storyboard'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Oobari, Masami', 'Episode Director, Storyboard'], ['Takamura, Yuuta', 'Episode Director']]
