animeTitle	b'Fate/kaleid liner Prisma\xe2\x98\x86Illya'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	7.07
animeUsers	104220
animeRank	
animePopularity	
animeDescription	"b'Mage\'s Association members Rin Toosaka and Luviagelita ""Luvia"" Edelfelt are tasked with finding and retrieving seven Class Cards, medieval artifacts containing the life essence of legendary Heroic Spirits. To aid them in their mission, they are granted the power of Ruby and Sapphire, two sentient Kaleidosticks that would enable them to transform themselves into magical girls and drastically increase their abilities. However, the two mages are on anything but good terms, prompting the Kaleidosticks to abandon them in search for new masters. They stumble upon two young schoolgirls\xe2\x80\x94Illyasviel von Einzbern and Miyu\xe2\x80\x94and quickly convince them to form a contract. With their new powers and responsibilities, Illya and Miyu set forth to collect all the Class Cards.\n\n[Written by MAL Rewrite]\n'"
animeRelated	[b'Fate/kaleid liner Prisma\xe2\x98\x86Illya', b'Fate/stay night', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya: Undoukai de Dance!', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya Specials', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya 2wei!', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya Movie: Sekka no Chikai', b'Fate/kaleid liner Prisma\xe2\x98\x86Illya: Prisma\xe2\x98\x86Phantasm']
animeCharacters	[b'Toosaka, Rin', b'von Einzbern, Illyasviel', b'Edelfelt, Miyu', b'Edelfelt, Luviagelita', b'Saber', b'Emiya, Shirou', b'Rider', b'von Einzbern, Irisviel', b'Velvet, Waver', b'Caster']
animeVoices	[b'\nUeda, Kana\nJapanese\n', b'\nKadowaki, Mai\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nAsakawa, Yuu\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOonuma, Shin\n\nDirector\n\n', b'\nMinato, Mirai\n\nDirector, Episode Director, Storyboard\n\n', b'\nSakamoto, Takashi\n\nDirector\n\n', b'\nIida, Satoki\n\nSound Director\n\n']
