animeTitle	Waku Waku Koma-chan
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16140
animeDescription	"The Curious Kitty and Friends is a preschool stop-motion animated show, where we will join the upbeat and colorful adventures of kitty cat Komaneko as she explores the wonderful world with her friends Mimmi Bear, Radibo, and Yeti. With her trusty video camera and knapsack in tow, creative and curious Komaneko makes her own movies,usually starring her two favorite dolls, Wink and Ink. 

(Source: Amazon)"
animeRelated	['Komaneko no Christmas: Maigo ni Natta Present', 'Komadori Eiga: Komaneko']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
