animeTitle	b'009-1: R&B'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.3
animeUsers	1896
animeRank	
animePopularity	
animeDescription	"b'Mylene Hoffman, also known by the code name ""009-1"" is a beautiful cyborg spy. Instructed by her superior ""Number Zero,"" she is assigned to eliminate a Jazz musician who is suspected to be a double agent. However, as she gets closer to the musician, she begins to slowly loses suspicions. Can she complete the mission before she falls in love?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'009-1']
animeCharacters	[b'Hoffman, Mylene', b'Number Zero', b'Sam']
animeVoices	[b'\nShaku, Yumiko\nJapanese\n', b'\nOotsuka, Houchuu\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwasaki, Taku\n\nMusic\n\n', b'\nIshinomori, Shoutarou\n\nOriginal Creator\n\n', b'\nCampbell, Charles\n\nADR Director\n\n', b'\nLedford, John\n\nExecutive Producer\n\n']
