animeTitle	Sentimental Journey
animeType	TV
animeNumEpisode	12
releaseDate	1998-04-08 00:00:00
endDate	1998-07-01 00:00:00
animeNumMembers	
animeScore	6.35
animeUsers	674
animeRank	
animePopularity	8450
animeDescription	"Sentimental Journey is a collection of twelve short stories about twelve different girls. Though unrelated, there is one common theme that binds the episodes together: each girl's bittersweet experience of first love. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Endou, Akira', 'Sugihara, Manami', 'Morii, Kaho', 'Adachi, Taeko', 'Sawatari, Honoka', 'Ayasaki, Wakana', 'Hoshino, Asuka', 'Matsuoka, Chie', 'Nanase, Yuu', 'Nagakura, Emiru']
animeVoices	['Suzuki, Urarako', 'Toyoshima, Machiko', 'Mannaka, Yukiko', 'Okada, Junko', 'Suzuki, Mariko', 'Oda, Michiko', 'Okamoto, Asami', 'Yonemoto, Chizu', 'Nishiguchi, Yuka', 'Maeda, Ai']
animeStaff	[['Katayama, Kazuyoshi', 'Director'], ['Arakawa, Naruhisa', 'Script'], ['Yoshinaga, Naoyuki', 'Storyboard'], ['Yamane, Masahiro', 'Key Animation']]
