animeTitle	b'Choubakumatsu Shounen Seiki Takamaru'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Shin Choubakumatsu Shounen Seiki Takamaru']
animeCharacters	[b'Fukuda, Claude', b'Fox, Karin', b'Arusaemon']
animeVoices	[b'\nYamaguchi, Kappei\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAshida, Toyoo\n\nDirector, Character Design, Original Creator\n\n', b'\nMatsushita, Hiromi\n\nStoryboard, Key Animation, Animation Director\n\n', b'\nTanaka, Kouhei\n\nMusic\n\n']
