animeTitle	Diabolik Lovers OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2015-02-26 00:00:00
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	15591
animeRank	
animePopularity	3087
animeDescription	OVA of Diabolik Lovers included with the upcoming game Diabolik Lovers DARK FATE.
animeRelated	['Diabolik Lovers']
animeCharacters	['Sakamaki, Ayato', 'Sakamaki, Kanato', 'Sakamaki, Laito', 'Sakamaki, Shuu', 'Sakamaki, Subaru', 'Sakamaki, Reiji', 'Mukami, Azusa', 'Mukami, Kou', 'Mukami, Ruki', 'Komori, Yui']
animeVoices	['Midorikawa, Hikaru', 'Kaji, Yuki', 'Hirakawa, Daisuke', 'Toriumi, Kousuke', 'Kondou, Takashi', 'Konishi, Katsuyuki', 'Kishio, Daisuke', 'Kimura, Ryouhei', 'Sakurai, Takahiro', 'Suegara, Rie']
animeStaff	[['Yoshida, Risako', 'Director'], ['Kanesugi, Hiroko', 'Script'], ['Rejet', 'Original Creator'], ['Satoi', 'Original Character Design']]
