animeTitle	b'Kekkai Sensen'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.62
animeUsers	314916
animeRank	
animePopularity	
animeDescription	"b'Supersonic monkeys, vampires, talking fishmen, and all sorts of different supernatural monsters living alongside humans\xe2\x80\x94this has been part of daily life in Hellsalem\'s Lot, formerly known as New York City, for some time now. When a gateway between Earth and the Beyond opened three years ago, New Yorkers and creatures from the other dimension alike were trapped in an impenetrable bubble and were forced to live together. Libra is a secret organization composed of eccentrics and superhumans, tasked with keeping order in the city and making sure that chaos doesn\'t spread to the rest of the world.\n\nPursuing photography as a hobby, Leonardo Watch is living a normal life with his parents and sister. But when he obtains the ""All-seeing Eyes of the Gods"" at the expense of his sister\'s eyesight, he goes to Hellsalem\'s Lot in order to help her by finding answers about the mysterious powers he received. He soon runs into Libra, and when Leo unexpectedly joins their ranks, he gets more than what he bargained for. Kekkai Sensen follows Leo\'s misadventures in the strangest place on Earth with his equally strange comrades\xe2\x80\x94as the ordinary boy unwittingly sees his life take a turn for the extraordinary.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kekkai Sensen', b'Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi', b'Kekkai Sensen: Ousama no Restaurant no Ousama', b'Kekkai Sensen & Beyond']
animeCharacters	"[b'Watch, Leonardo', b'von Reinherz, Klaus', b'Renfro, Zapp', b'Sumeragi, Chain', b'Macbeth, Mary', b'Macbeth, William', b'Starphase, Steven A.', b'Sonic', b""O'Brien, Zed"", b'Amagranoff Luozontam Ouv Lee Nej']"
animeVoices	[b'\nSakaguchi, Daisuke\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n', b'\nNakai, Kazuya\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nMiyamoto, Mitsuru\nJapanese\n', b'\nUchida, Yuuma\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nOotani, Ikue\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFuruya, Daisuke\n\nProducer\n\n', b'\nMatsumoto, Rie\n\nDirector, Sound Director, Episode Director, Storyboard\n\n', b'\nMukai, Masahiro\n\nEpisode Director, Assistant Director\n\n', b'\nFuruya, Kazunao\n\nScript, Series Composition\n\n']
