animeTitle	Tekkon Kinkreet
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.97
animeUsers	38742
animeRank	
animePopularity	1690
animeDescription	"The streets of Treasure Town are said to belong to ""The Cats."" They know everything that goes on in the city, and no one can stir up trouble without going through them first. In reality, The Cats are a pair of orphan boys called Black and White, who aren’t afraid of anything or anyone. 

But their rule of the streets is challenged when the Yakuza come to town and start making changes. The wild Black and the carefree White have no one to rely on but themselves to get their Treasure Town back to the way it was. But their bond is tested as they quickly realize going back to how things were may no longer be an option.

[Written by MAL Rewrite]
"
animeRelated	['Tekkon Kinkreet', 'Tekkon Kinkreet Pilot']
animeCharacters	['Shiro', 'Kuro', 'The Minotaur', 'Suzuki', 'Snake', 'Kimura', 'Jiccha', 'Yakuza Boss', 'Fujimura', 'Sawada']
animeVoices	['Aoi, Yuu', 'Ninomiya, Kazunari', 'Tanaka, Min', 'Motoki, Masahiro', 'Iseya, Yusuke', 'Naya, Rokurou', 'Mugihito', 'Nishimura, Tomomichi', 'Kudou, Kankurou']
animeStaff	[['Kamagata, Eiichi', 'Producer'], ['Arias, Michael', 'Director, Storyboard, Special Effects, Series Composition'], ['Andou, Hiroaki', 'Episode Director'], ['Morimoto, Kouji', 'Storyboard']]
