animeTitle	b'Enzai'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	11049
animeRank	
animePopularity	
animeDescription	b'The protagonist is Guys, a young boy from a poor family, who gets caught for stealing candy from a Paris store. \n\nHowever, after being railroaded by a city detective named Guildias, Guys finds himself accused, convicted, and sentenced to life imprisonment for the murder of a man he never met.\n\nFrom that point on, most Enzai takes place inside a dark, claustrophobic, dirty prison, in there, Guys experiences humiliation and torture of various kinds, much of it involving sexual acts such as rape and forcible sodomy.'
animeRelated	[b'Enzai']
animeCharacters	[b'Vallewida', b'Guys', b'Guildias', b'Durer', b'Lusca', b'Jose']
animeVoices	[b'\nHabuki, Risato\nJapanese\n', b'\nOda, Yuusei\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n', b'\nShibuya, Shigeru\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSekiya, Yoshihiro\n\nDirector of Photography\n\n', b'\nNoguchi, Konomi\n\nAnimation Director\n\n']
