animeTitle	Papa to Rusuban
animeType	Music
animeNumEpisode	1
releaseDate	2007-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17848
animeDescription	Music video for the song Papa to Rusuban sung by child actress Yumi Endou and featuring music by Japanese duo indigo blue. The video was featured on NHK's Minna no Uta program and was animated by Michiko Tachimoto and Tomoichiro Nagao.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
