animeTitle	Machine Hayabusa
animeType	TV
animeNumEpisode	21
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	157
animeRank	
animePopularity	11826
animeDescription	"Because of the appearance of a villain team, Black Shadow, the international racing was ruined. To compete with Black Shadow, Saionji Racing Team was founded. They developed a racing car, Hayabusa. It was a super racing machine that carries hyper power engine, Cavalier Engine. The main driver of the team was Hayabusa Ken whose big brother was killed by Black Shadow.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Hayabusa, Ken', 'Dr. Saionji', 'Mutsu, Gorou', 'Saionji, Sakura', 'Kamikaze, Hiroshi', 'Iwata, Tetsuo', 'Yamato, Shingo']
animeVoices	['Sogabe, Kazuyuki', 'Nagai, Ichiro', 'Ootake, Hiroshi', 'Yoshida, Rihoko', 'Yamamoto, Keiko', 'Mizutori, Tetsuo', 'Yada, Kouji']
animeStaff	[['Okuda, Seiji', 'Episode Director'], ['Okazaki, Minoru', 'Episode Director'], ['Morishita, Kouzou', 'Episode Director'], ['Mizuki, Ichirou', 'Theme Song Performance']]
