animeTitle	b'Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""In fairytales, the handsome prince, with some help from friendly dwarves, always marries the beautiful princess and lives happily ever after with her. This, unfortunately, is not the case for Prince Pegasus. Due to the meddling of Dwarf Pegasus, Prince Pegasus is not only stopped from marrying his princess, but also falls from Pegasus City down to Green Green Pastures! Now, it's up to Pleasant Goat and his friends to help Prince Pegasus return to his home! As always, though, Big Big Wolf is closely following the goats... \n\n(source: YesAsia)"""
animeRelated	[b'Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian', b'Xi Yang Yang Yu Hui Tailang: Yang Nian Xi Yang Yang']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
