animeTitle	b'Kimi to Boku. 2'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.95
animeUsers	37703
animeRank	
animePopularity	
animeDescription	"b'""No matter how many years go by, I\'m sure we\'ll still be laughing together."" \n\nTwins Yuta and Yuki, Kaname, and Shun have been childhood friends since kindergarten. When transfer student Chizuru joins them, their five man school life becomes all the more lively. Through the changing seasons, the boys will find laughter, surprises, love, and new encounters waiting for them. \n\nThe second season of the boys growing a little every day of their invaluable daily lives is about to begin! \n\n(Source: Crunchyroll) '"
animeRelated	[b'Kimi to Boku.']
animeCharacters	[b'Asaba, Yuuki', b'Asaba, Yuuta', b'Tachibana, Chizuru', b'Matsuoka, Shun', b'Tsukahara, Kaname', b'Satou, Masaki', b'Takahashi, Rina', b'Akira', b'Sakura, Kayo', b'Matsuoka, Fuyuki']
animeVoices	[b'\nKimura, Ryouhei\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nIrino, Miyu\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nSatou, Miyuki\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKanbe, Mamoru\n\nDirector\n\n', b'\nShimizu, Katsunori\n\nSound Director\n\n', b'\nSuzuki, Youhei\n\nEpisode Director, Storyboard\n\n', b'\nHirabayashi, Sawako\n\nScript\n\n']
