animeTitle	Dragon Ball Specials
animeType	Special
animeNumEpisode	2
releaseDate	1988-06-08 00:00:00
endDate	
animeNumMembers	27637
animeScore	6.72
animeUsers	13531
animeRank	4991
animePopularity	3430
animeDescription	"Specials included with the original series.

Goku no Koutsuuanzen (Goku's Traffic Safety)
Goku is heading to West City to attend Bulma's birthday party, and on the way he ends up learning the rules for getting through traffic. The movie was for children to watch so it would teach them how to get across a pedestrian crossing.

Goku no Shouboutai (Goku's Fire Brigade)
An episode for kids where Goku and the others work for the Fire brigade and explain how avoid problems with fire."
animeRelated	['Dragon Ball']
animeCharacters	['Son, Gokuu', 'Bulma', 'Muten-Roushi', 'Kuririn', 'Yamcha', 'Suno']
animeVoices	['Nozawa, Masako', 'Tsuru, Hiromi', 'Miyauchi, Kouhei', 'Tanaka, Mayumi', 'Furuya, Toru', 'Watanabe, Naoko']
animeStaff	[]
