animeTitle	Sunoko-tan. Promotion Anime
animeType	Special
animeNumEpisode	1
releaseDate	2020-01-09 00:00:00
endDate	
animeNumMembers	91
animeScore	
animeUsers	
animeRank	13598
animePopularity	17905
animeDescription	A new 90-second promotional video featuring Sunoko-tan, Alumi-san, Namae-chan, and Ku-chan, characters created by a metal production company in Niigata Prefecture.
animeRelated	['Pure Aluminum: Sunoko-tan.']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
