animeTitle	b'Tamagotchi!'
animeType	b'TV'
animeNumEpisode	143
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	190
animeRank	
animePopularity	
animeDescription	b'The stories will follow the daily lives of the Tamagotchi and feature new characters and settings. \n\n(Source: ANN) '
animeRelated	[b'Tamagotchi! Yume Kira Dream', b'Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!']
animeCharacters	[b'Mametchi', b'Memetchi', b'Lovelitchi', b'Violetchi', b'Meloditchi', b'KuroMametchi']
animeVoices	[b'\nKugimiya, Rie\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nShindou, Kei\nJapanese\n', b'\nSasaki, Hinako\nJapanese\n', b'\nSanpei, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShimura, Jouji\n\nDirector\n\n', b'\nShimada, Souichi\n\nEpisode Director\n\n', b'\nYokote, Michiko\n\nScript\n\n', b'\nmao\n\nTheme Song Performance\n\n']
