animeTitle	Narutaru: Mukuro Naru Hoshi Tama Taru Ko
animeType	TV
animeNumEpisode	13
releaseDate	2003-07-07 00:00:00
endDate	2003-09-29 00:00:00
animeNumMembers	31668
animeScore	6.04
animeUsers	8886
animeRank	8486
animePopularity	3202
animeDescription	"During her summer holiday at her grandparents house Tamai Shiina, a young and cheerful schoolgirl, meets a strange looking creature. They befriend each other and Shiina names it ""Hoshimaru: The Round Star."" When Shiina returns home after the summer to go back to school, she starts meeting other kids that also have befriended a strange creature like Hoshimaru. But she soon finds out that not all these creatures and their masters are as friendly as Hoshimaru.

(Source: ANN)"
animeRelated	['Narutaru: Mukuro Naru Hoshi Tama Taru Ko']
animeCharacters	['Tamai, Shiina', 'Hoshimaru', 'Sakura, Akira', 'Koga, Norio', 'Kaizuka, Hiroko', 'Sudo, Naozumi', 'Tsurumaru, Takeo', 'Kuri, Mamiko', 'Ozawa, Satomi', 'Tamai, Shunji']
animeVoices	['Sanada, Asami', 'Yukino, Satsuki', 'Noto, Mamiko', 'Akaishi, Kouki', 'Nogawa, Sakura', 'Tasaka, Hideki', 'Miyashita, Eiji', 'Tanaka, Kaori', 'Tobita, Nobuo']
animeStaff	[['Iino, Toshiaki', 'Director'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Oota, Masahiko', 'Episode Director, Storyboard, Chief Animation Director, Character Design, Animation Director, Key Animation'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard']]
