animeTitle	b'Gintama x Mameshiba'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	4451
animeRank	
animePopularity	
animeDescription	"b'Aired as a commercial to promote the Gintama: Kanketsu-hen - Yorozuya yo Eien Nare Movie, Gintoki, Kagura and Shipachi have turned into ""weird living creatures"".\n\nThis is a Gintama parody on the Kids Short Animation ""Mameshiba"" featuring the characters the sword bean-dog hybrid creatures. '"
animeRelated	[b'Mameshiba', b'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare']
animeCharacters	[b'Sakata, Gintoki', b'Kagura', b'Shimura, Shinpachi', b'Hijikata, Toushirou', b'Okita, Sougo', b'Kondou, Isao']
animeVoices	[b'\nSugita, Tomokazu\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n']
animeStaff	[]
