animeTitle	Yuyushiki: Komarasetari, Komarasaretari
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	4571
animeRank	
animePopularity	5146
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Yuyushiki']
animeCharacters	['Ichii, Yui', 'Nonohara, Yuzuko', 'Hinata, Yukari', 'Aikawa, Chiho', 'Hasegawa, Fumi', 'Matsumoto, Yoriko', 'Okano, Kei']
animeVoices	['Tsuda, Minami', 'Ookubo, Rumi', 'Taneda, Risa', 'Kayano, Ai', 'Shimizu, Mana', 'Horie, Yui', 'Han, Megumi']
animeStaff	[['Ogura, Mitsutoshi', 'Producer'], ['Kaori', 'Director, Storyboard'], ['Ikehata, Hiroshi', 'Episode Director, Storyboard'], ['Taneda, Risa', 'Theme Song Performance']]
