animeTitle	Rifle Is Beautiful
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	7693
animeRank	
animePopularity	3224
animeDescription	"Rifle-shooting sports are competitive activities testing accuracy and precision using a rifle. In Japan, carrying firearms is prohibited, so most of the participants are members of the defense force. When the use of rifles using a light beam instead of real bullets as ammunition became common, rifle-shooting competitions became accessible to the younger population, giving way to school contests.

First-year high school student and marksmanship enthusiast Hikari Kokura has just transferred to Chidori High School. She tries to join the club of her choice, but finds out that the club no longer exists due to the low popularity of the sport. Distraught, she tries to restore the club and somehow manages to recruit three other members: her childhood friend Izumi Shibusawa, the half-Russian Erika Meinohama, and the stoic Yukio Igarashi.

This marks the beginning of the Chidori Rifle-Shooting Club, who have only one goal—to compete on the national stage!

[Written by MAL Rewrite]"
animeRelated	['Rifle Is Beautiful', 'Rifle Is Beautiful Recap']
animeCharacters	['Igarashi, Yukio', 'Kokura, Hikari', 'Meinohama, Erika', 'Shibusawa, Izumi', 'Mochizuki, Ryoko', 'Sakashita, Karen', 'Shinonome, Akira', 'Tsurumaki, Yuuko', 'Kuroi, Misa']
animeVoices	['Yamaki, Anna', 'Machico', 'Minami, Saki', 'Kumada, Akane', 'Takahashi, Minami', 'Ueda, Reina']
animeStaff	[['Takahashi, Masanori', 'Director'], ['Machico', 'Theme Song Performance'], ['Kumada, Akane', 'Theme Song Performance'], ['Minami, Saki', 'Theme Song Performance']]
