animeTitle	b'High School DxD New'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	504604
animeRank	
animePopularity	
animeDescription	"b""The misadventures of Issei Hyoudou, high school pervert and aspiring Harem King, continue on in High School DxD New. As the members of the Occult Research Club carry out their regular activities, it becomes increasingly obvious that there is something wrong with their Knight, the usually composed and alert Yuuto Kiba. Soon, Issei learns of Kiba's dark, bloody past and its connection to the mysterious Holy Swords. Once the subject of a cruel experiment, Kiba now seeks revenge on all those who wronged him.\n\nWith the return of an old enemy, as well as the appearance of two new, Holy Sword-wielding beauties, it isn't long before Issei and his Devil comrades are plunged into a twisted plot once more.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'High School DxD', b'High School DxD OVA', b'High School DxD New: Oppai, Tsutsumimasu!']
animeCharacters	[b'Gremory, Rias', b'Himejima, Akeno', b'Hyoudou, Issei', b'Toujou, Koneko', b'Quarta, Xenovia', b'Argento, Asia', b'Shidou, Irina', b'Kiba, Yuuto', b'Vladi, Gasper', b'Azazel']
animeVoices	[b'\nHikasa, Youko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nTaneda, Risa\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nKoyama, Rikiya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanagisawa, Tetsuya\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nMarchi, Jamie\n\nScript\n\n', b'\nYoshioka, Takao\n\nScript, Series Composition\n\n']
